text
"Co-founder, Bangladeshi Women in Computer Science and Engineering (BWCSE), 2014-Present"
"General Co-chair, IPDPS'27"
"Chair, Student Program@SC'27"
"Chair, Posters@ISC'26"
"Chair, Performance track@SC'26"
"Chair, Software track@ICPP'26"
"Chair, Performance track@IPDPS'25"
"Chair, Applications and Workflows track@CCGrid'25"
"Chair, Posters@HPDC'25"
"Chair, Performance track@SC'22"
"Vice/Co-chair, Posters@ISC'25"
"Vice/Co-chair, Performance track@HiPC'24"
"Vice/Co-chair, Awards@SC'23"
"Vice/Co-chair, Performance track@IEEE Cluster'23"
"Vice/Co-chair, Performance track@ICPP'19"
"Organizer, IEEE International Workshop on Big Data Computation, Analysis & Applications, in conjunction with IEEE COMPSAC'19-'23"
"Organizer, ""May the HPC Force be with You"", Richard Tapia Celebration of Diversity in Computing, 2020"
"Subject-matter editor, Future Generation Computer Systems (FGCS)'25"
"Subject-matter editor, Parallel Computing (ParCo)'25-Present"
"Technical review board, IEEE Transactions on Parallel and Distributed Systems (TPDS)'20-Present"
"Advisor/Mentor, CAHSI NAIRR Grant Program"
"TPC, NeurIPS'22, '26"
"TPC, SIGKDD'26"
"TPC, High-Performance Distributed Computing (HPDC)'22-Present"
"TPC, International Parallel & Distributed Processing Symposium (IPDPS)'17-Present"
"TPC, Performance track@International Conference for High Performance Computing, Networking, Storage and Analysis (SC)'17-Present"
"TPC, Posters@SC'19-'21"
"TPC, HPC for Undergraduates@SC'18"
"TPC, Resilience BoF@SC'15"
"TPC, International Supercomputing Conference (ISC)'19-Present"
"TPC, Women in HPC Technical Conference'20"
"TPC, EuroMPI User Forum'20"
"TPC, Computer Systems Engineering track@Grace Hopper Celebration (GHC)'19"
"TPC, The Platform for Advanced Scientific Computing (PASC)'19"
"TPC, International Conference on Parallel Processing (ICPP)'18-Present"
"TPC, Workshop@International Conference on Distributed Computing Systems (ICDCS)'17"
"TPC, International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD)'13-'14"
"TPC, Symposium on Principles and Practice of Parallel Programming (PPoPP)'11"
"TPC, Dependable Systems and Networks (DSN)'10, '22"
"Reviewer, IEEE Transactions on Parallel and Distributed Systems (TPDS)'19-Present"
"Reviewer, Parallel Computing (ParCo)'19-'21"
"Reviewer, Journal of Grid Computing (JoGC)'17-'21"
"Reviewer, Concurrency and Computation: Practice and Experience (CCPE)'16-'17"
"Reviewer, International Journal of High Performance Computing Applications (IJHPCA)'18"
"Grant review panel, DOE ECRP"
"Grant review panel, DOE SciDAC"
"Grant review panel, DOE SBIR/STTR"
"Grant review panel, DOE Computational Science Graduate Fellowship"
"Grant review panel, NSF FIRE"
"Grant review panel, NSF ACSS Category II"
"Grant review panel, NSF Cybertraining/OAC"
"Grant review panel, NSF CISE/CSSI"
"Grant review panel, NSF CISE/SHF"
"Grant review panel, NSF CISE/OAC"
"Grant review panel, NSF CISE/CCF"
"Grant review panel, NSF HBCU-UP"
